sample	sample_type
TCGA-23-1024	6
TCGA-23-1026	6
TCGA-23-1027	6
TCGA-23-1028	6
TCGA-23-1029	6
TCGA-23-1030	6
TCGA-23-1031	6
TCGA-23-1032	6
TCGA-23-1107	6
TCGA-23-1109	6
TCGA-23-1110	6
TCGA-23-1111	6
TCGA-23-1113	6
TCGA-23-1114	6
TCGA-23-1116	6
TCGA-23-1117	6
TCGA-23-1118	6
TCGA-23-1119	6
TCGA-23-1120	6
TCGA-23-1121	6
TCGA-23-1122	6
TCGA-23-1123	6
TCGA-23-1124	6
TCGA-23-1809	6
TCGA-23-2072	6
TCGA-23-2077	6
TCGA-23-2078	6
TCGA-23-2079	6
TCGA-23-2081	6
TCGA-23-2084	6
TCGA-23-2641	6
TCGA-23-2643	6
TCGA-23-2645	6
TCGA-23-2647	6
TCGA-23-2649	6
TCGA-24-0966	6
TCGA-24-0968	6
TCGA-24-0970	6
TCGA-24-0975	6
TCGA-24-0979	6
TCGA-24-0980	6
TCGA-24-0982	6
TCGA-24-1103	6
TCGA-24-1104	6
TCGA-24-1105	6
TCGA-24-1413	6
TCGA-24-1416	6
TCGA-24-1417	6
TCGA-24-1418	6
TCGA-24-1419	6
TCGA-24-1422	6
TCGA-24-1423	6
TCGA-24-1424	6
TCGA-24-1425	6
TCGA-24-1426	6
TCGA-24-1427	6
TCGA-24-1428	6
TCGA-24-1430	6
TCGA-24-1431	6
TCGA-24-1434	6
TCGA-24-1435	6
TCGA-24-1436	6
TCGA-24-1463	6
TCGA-24-1464	6
TCGA-24-1466	6
TCGA-24-1467	6
TCGA-24-1469	6
TCGA-24-1470	6
TCGA-24-1471	6
TCGA-24-1474	6
TCGA-24-1544	6
TCGA-24-1545	6
TCGA-24-1546	6
TCGA-24-1548	6
TCGA-24-1549	6
TCGA-24-1550	6
TCGA-24-1551	6
TCGA-24-1552	6
TCGA-24-1553	6
TCGA-24-1555	6
TCGA-24-1556	6
TCGA-24-1557	6
TCGA-24-1558	6
TCGA-24-1560	6
TCGA-24-1562	6
TCGA-24-1563	6
TCGA-24-1564	6
TCGA-24-1565	6
TCGA-24-1567	6
TCGA-24-1603	6
TCGA-24-1604	6
TCGA-24-1614	6
TCGA-24-1616	6
TCGA-24-1842	6
TCGA-24-1843	6
TCGA-24-1844	6
TCGA-24-1845	6
TCGA-24-1846	6
TCGA-24-1847	6
TCGA-24-1849	6
TCGA-24-1850	6
TCGA-24-1920	6
TCGA-24-1923	6
TCGA-24-1924	6
TCGA-24-1927	6
TCGA-24-1928	6
TCGA-24-1930	6
TCGA-24-2019	6
TCGA-24-2020	6
TCGA-24-2023	6
TCGA-24-2024	6
TCGA-24-2026	6
TCGA-24-2027	6
TCGA-24-2029	6
TCGA-24-2030	6
TCGA-24-2033	6
TCGA-24-2035	6
TCGA-24-2036	6
TCGA-24-2038	6
TCGA-24-2254	6
TCGA-24-2260	6
TCGA-24-2261	6
TCGA-24-2262	6
TCGA-24-2267	6
TCGA-24-2271	6
TCGA-24-2280	6
TCGA-24-2281	6
TCGA-24-2288	6
TCGA-24-2289	6
TCGA-24-2290	6
TCGA-24-2293	6
TCGA-24-2295	6
TCGA-24-2297	6
TCGA-24-2298	6
TCGA-25-1312	6
TCGA-25-1313	6
TCGA-25-1314	6
TCGA-25-1315	6
TCGA-25-1316	6
TCGA-25-1317	6
TCGA-25-1318	6
TCGA-25-1319	6
TCGA-25-1320	6
TCGA-25-1321	6
TCGA-25-1322	6
TCGA-25-1323	6
TCGA-25-1324	6
TCGA-25-1325	6
TCGA-25-1326	6
TCGA-25-1328	6
TCGA-25-1329	6
TCGA-25-1623	6
TCGA-25-1625	6
TCGA-25-1626	6
TCGA-25-1627	6
TCGA-25-1628	6
TCGA-25-1630	6
TCGA-25-1631	6
TCGA-25-1632	6
TCGA-25-1633	6
TCGA-25-1634	6
TCGA-25-1635	6
TCGA-25-1870	6
TCGA-25-1871	6
TCGA-25-1877	6
TCGA-25-1878	6
TCGA-25-2042	6
TCGA-25-2390	6
TCGA-25-2391	6
TCGA-25-2392	6
TCGA-25-2393	6
TCGA-25-2396	6
TCGA-25-2397	6
TCGA-25-2398	6
TCGA-25-2399	6
TCGA-25-2400	6
TCGA-25-2401	6
TCGA-25-2404	6
TCGA-25-2408	6
TCGA-25-2409	6
TCGA-26-1438	3
TCGA-26-1439	3
TCGA-26-1440	3
TCGA-26-1442	3
TCGA-26-1443	3
TCGA-26-1799	3
TCGA-26-5132	3
TCGA-26-5133	3
TCGA-26-5134	3
TCGA-26-5135	3
TCGA-26-5136	3
TCGA-26-5139	3
TCGA-26-6173	3
TCGA-26-6174	3
TCGA-27-1830	3
TCGA-27-1831	3
TCGA-27-1832	3
TCGA-27-1833	3
TCGA-27-1834	3
TCGA-27-1835	3
TCGA-27-1836	3
TCGA-27-1837	3
TCGA-27-1838	3
TCGA-27-2518	3
TCGA-27-2519	3
TCGA-27-2521	3
TCGA-27-2523	3
TCGA-27-2524	3
TCGA-27-2526	3
TCGA-27-2527	3
TCGA-27-2528	3
TCGA-28-1745	3
TCGA-28-1746	3
TCGA-28-1747	3
TCGA-28-1749	3
TCGA-28-1750	3
TCGA-28-1751	3
TCGA-28-1752	3
TCGA-28-1753	3
TCGA-28-1755	3
TCGA-28-1756	3
TCGA-28-1757	3
TCGA-28-1760	3
TCGA-28-2499	3
TCGA-28-2501	3
TCGA-28-2502	3
TCGA-28-2506	3
TCGA-28-2509	3
TCGA-28-2510	3
TCGA-28-2512	3
TCGA-28-2513	3
TCGA-28-2514	3
TCGA-28-5204	3
TCGA-28-5207	3
TCGA-28-5208	3
TCGA-28-5209	3
TCGA-28-5211	3
TCGA-28-5213	3
TCGA-28-5214	3
TCGA-28-5215	3
TCGA-28-5216	3
TCGA-28-5218	3
TCGA-28-5219	3
TCGA-28-5220	3
TCGA-28-6450	3
TCGA-29-1688	6
TCGA-29-1690	6
TCGA-29-1691	6
TCGA-29-1693	6
TCGA-29-1694	6
TCGA-29-1695	6
TCGA-29-1696	6
TCGA-29-1697	6
TCGA-29-1698	6
TCGA-29-1699	6
TCGA-29-1701	6
TCGA-29-1702	6
TCGA-29-1703	6
TCGA-29-1705	6
TCGA-29-1707	6
TCGA-29-1710	6
TCGA-29-1711	6
TCGA-29-1761	6
TCGA-29-1762	6
TCGA-29-1763	6
TCGA-29-1764	6
TCGA-29-1766	6
TCGA-29-1768	6
TCGA-29-1769	6
TCGA-29-1770	6
TCGA-29-1771	6
TCGA-29-1774	6
TCGA-29-1775	6
TCGA-29-1776	6
TCGA-29-1777	6
TCGA-29-1778	6
TCGA-29-1781	6
TCGA-29-1783	6
TCGA-29-1784	6
TCGA-29-1785	6
TCGA-29-2414	6
TCGA-29-2425	6
TCGA-29-2427	6
TCGA-29-2428	6
TCGA-29-2429	6
TCGA-29-2431	6
TCGA-29-2432	6
TCGA-29-2433	6
TCGA-29-2434	6
TCGA-29-2435	6
TCGA-29-2436	6
TCGA-30-1714	6
TCGA-30-1718	6
TCGA-30-1853	6
TCGA-30-1855	6
TCGA-30-1856	6
TCGA-30-1857	6
TCGA-30-1859	6
TCGA-30-1860	6
TCGA-30-1861	6
TCGA-30-1862	6
TCGA-30-1866	6
TCGA-30-1867	6
TCGA-30-1869	6
TCGA-30-1880	6
TCGA-30-1887	6
TCGA-30-1891	6
TCGA-30-1892	6
TCGA-31-1944	6
